"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02266147","Study of SD-101 in Combination With Localized Low-dose Radiation in Patients With Untreated Low-grade B-cell Lymphoma",,"Completed","No Results Available","B-cell Lymphoma","Drug: SD-101|Radiation: Radiation therapy","Number of participants experiencing dose-limiting toxicities (DLTs), injection-site reactions (ISRs), adverse events (AEs), and serious adverse events (SAEs).|Changes in interferon (IFN)-inducible genes|Response rate of treated tumor according to Cheson criteria|Response rate of untreated tumor according to Cheson criteria","Dynavax Technologies Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","29","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DV3-LYM-01","October 2014","April 2017","April 2017","October 16, 2014","null","March 1, 2018","Stanford University School of Medicine, Stanford, California, United States|Northwestern University, Chicago, Illinois, United States|University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|University of Rochester Medical Center, Rochester, New York, United States","","https://ClinicalTrials.gov/show/NCT02266147"
2,"NCT02055924","Bruton's Tyrosine Kinase (BTK) Inhibition in B-cell Lymphomas","BIBLOS","Recruiting","No Results Available","B-cell Lymphoma","Drug: Ibrutinib and immunochemotherapies","The primary endpoint is the incidence rate of DLTs at each dose level on cycle 1|Secondary safety endpoints|Response Rate|Duration of response (DoR)|Progression-Free Survival (PFS)|Time to Next Anti-Lymphoma Treatment (TTNLT)|Overall Survival (OS)|Pharmacokinetics profile of ibrutinib in Groups A bis and B bis","The Lymphoma Academic Research Organisation|Janssen Pharmaceutica N.V., Belgium","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","86","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BIBLOS","May 2014","October 2018","November 2019","February 5, 2014","null","March 7, 2018","Universite Catholique de Louvain Saint Luc, Bruxelles, Belgium|CHU de Liège, Liège, Belgium|CHU UCL Namur asbl, Yvoir, Belgium|Centre François Baclesse, Caen, France|Hôpital Henri Mondor, Créteil, France|CHU de Dijon - Hôpital le Bocage, Dijon, France|CHRU de Lille - Hôpital Claude Huriez, Lille, France|Centre Léon Bérard, Lyon, France|CHU Montpellier, Montpellier, France|CHU de Nantes, Nantes, France|Hôpital Saint Louis, Paris, France|Centre François Magendie - Hôpital du Haut Lévêque, Pessac, France|Centre Hospitalier Lyon Sud, Pierre Bénite, France|CHU Pontchaillou, Rennes, France|Centre Henri Becquerel, Rouen, France","","https://ClinicalTrials.gov/show/NCT02055924"
3,"NCT02395601","A Study Evaluating CPI-1205 in Patients With B-Cell Lymphomas",,"Active, not recruiting","No Results Available","B-Cell Lymphoma","Drug: CPI-1205","Frequency of Dose-limiting toxicities (DLTs)|Frequency of adverse events|Pharmacokinetic parameters of CPI-1205: AUC(0-t), AUC(0-inf), AUCtau,ss, Tmax, Cmax, Ctrough, T1/2, Vd/F, CL/F|Pharmacodynamic effects of CPI-1205 in lymphoma tissue: changes in levels of the trimethylated form of lysine residue 27 on histone 3; changes in the expression of genes whose transcription may be altered by EZH2 inhibition|Pharmacodynamic effects of CPI-1205 in bone marrow and in skin: changes in global levels of the trimethylated form of lysine residue 27 on histone 3 (H3K27me3)|Disease response assessment will be performed using the 2014 Lugano Response Criteria for Hodgkin and Non-Hodgkin Lymphoma","Constellation Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 1","41","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1205-01","March 2015","October 2018","January 2019","March 23, 2015","null","March 5, 2018","Horizon Oncology Center, Lafayette, Indiana, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|John Theurer Cancer Center, Hackensack, New Jersey, United States|The Ohio State University James Cancer Hospital, Columbus, Ohio, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States","","https://ClinicalTrials.gov/show/NCT02395601"
4,"NCT00162656","Treatment of Mature B-cell Lymphoma/Leukaemia",,"Completed","No Results Available","B-Cell Lymphoma","Drug: half cyclophosphamide|Drug: without COPADM3|Drug: mini CYVE, without 3 maintenance courses|Drug: LMB B|Drug: LMB C","Event free survival|Survival|long term toxicity","Gustave Roussy, Cancer Campus, Grand Paris","All","6 Months to 20 Years   (Child, Adult)","Phase 3","848","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FAB LMB96","May 1996","May 2004","May 2011","September 13, 2005","null","March 28, 2012","Morgan Stanley Childrens Hospital of New York Presbyterian, New York, New York, United States|Institut Gustave Roussy, Villejuif, France|Sheffield Children's Hospital, Sheffield, United Kingdom","","https://ClinicalTrials.gov/show/NCT00162656"
5,"NCT03424122","INCB050465 in Combination With Rituximab, Bendamustine and Rituximab, or Ibrutinib in Participants With Previously Treated B-Cell Lymphoma (CITADEL-112)",,"Recruiting","No Results Available","B-cell Lymphoma","Drug: INCB050465|Drug: Rituximab|Drug: Bendamustine|Drug: Ibrutinib","Number of treatment-emergent adverse events (TEAEs)|Apparent clearance of INCB050465 in combination with rituximab, bendamustine and rituximab, or ibrutinib|Apparent volume of distribution of INCB050465 in combination with rituximab, bendamustine and rituximab, or ibrutinib","Incyte Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 1","81","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","INCB 50465-112 (CITADEL-112)","June 7, 2018","December 13, 2019","December 13, 2020","February 6, 2018","null","August 23, 2018","Comprehensive Cancer Centers of Nevada, Las Vegas, Nevada, United States|Texas Oncology-Austin Midtown, Austin, Texas, United States|Texas Oncology-Baylor Charles A. Sammons Cancer Center, Dallas, Texas, United States|Texas Oncology-San Antonio Northeast, San Antonio, Texas, United States|Texas Oncology San Antonio Medical Center, San Antonio, Texas, United States","","https://ClinicalTrials.gov/show/NCT03424122"
6,"NCT02247609","Evaluation of 4th Generation Safety-designed CAR T Cells Targeting High-risk and Refractory B Cell Lymphomas","4SCAR19273","Unknown status","No Results Available","B-cell Lymphomas","Genetic: Anti-CD19 CAR T cells","Number of patients with adverse events.|Survival time of Anti-CD19 CAR T cells in vivo.|Response rates to the 4th generation CAR T cells.|Survival time of the patients.","Peking University|University of Florida","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","19273-4SCAR","January 2014","October 2016","October 2017","September 25, 2014","null","October 20, 2014","Peking University Cancer Hospital, Beijing, Beijing, China","","https://ClinicalTrials.gov/show/NCT02247609"
7,"NCT01478269","Prognosis Of Patients With Aggressive B-Cell Lymphoma, Treated With Rituximab+Anthracycline Regimen","ProDLBCL","Completed","No Results Available","B-Cell Lymphomas","","","Fondazione Italiana Linfomi ONLUS","All","18 Years and older   (Adult, Older Adult)","","1927","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","IIL_ProDLBCL","May 2009","May 2011","May 2011","November 23, 2011","null","November 23, 2011","Hemocentro-Unicamp, Campinas, Brazil|Centro Medico, Santa Isabel, Brazil|Centro Paulista de Oncologia, Sao Paolo, Brazil|Santa Casa Medical School, Sao Paolo, Brazil|A.O.SS. Biagio, Antonio e Cesare Arrigo, Alessandria, Italy|Centro di riferimento Oncologico Oncologia Medica A, Aviano (Pordenone), Italy|USC Ematologia e Trapianto di Midollo Osseo Ospedali Riuniti di Bergamo, Bergamo, Italy|Presidio Ospedaliero A.Perrino - Divisione di Ematologia, Brindisi, Italy|U.O. di Oncologia Ospedale di Circolo di Busto Arsizio, Busto Arsizio, Italy|Ospedale Civile, Camposanpiero (PD), Italy|A.O.Pugliese Ciaccio Diviisone di Ematologia, Catanzaro, Italy|Presidio Ospedaliero Annunziata U.O.C. di Ematologia, Cosenza, Italy|Clinica Ematologica Policlinico Carreggi, Firenze, Italy|Ematologia 1 Ospedale S. Martino, Genova, Italy|Oncologia Medica B e C IST Genova, Genova, Italy|Ospedale Felettino, La Spezia, Italy|Ospedale Madonna delle grazie U.O. Ematologia, Matera, Italy|A O Papardo, Messina, Italy|Azienda Ospedaliero Universitaria Policlinico Gaetano Martino, Messina, Italy|Ematologia e Trapianto IRCCS, Istituto Nazionale dei Tumori, Milano, Italy|Oncologia Medica 3 Istituto Nazionale dei Tumori di Milano, Milano, Italy|Osp. San Carlo Borromeo Divisione di Oncologia Medica, Milano, Italy|Ospedale Maggiore IRCCS-Dipartimento di Ematologia, Milano, Italy|Centro Oncologico Modenese, Modena, Italy|A.O. Maggiore della Carità S.C.D.U. Ematologia, Novara, Italy|A.O. di Padova Divisione di Oncologia Medica, Padova, Italy|Casa di cura La Maddalena Unita' di Ematologia, Palermo, Italy|Div. di Ematologia e TMO AOU Policlinico Giaccone di Palermo, Palermo, Italy|A O Universitaria di Parma, Parma, Italy|Ospedale Civile G.da Saliceto - UOA Ematologia, Piacenza, Italy|Azienda Ospedaliero Universitaria Pisana U.O. Ematologia, Pisa, Italy|AO Bianchi Melacrino Morelli UO Ematologia, Reggio Calabria, Italy|AO Arcispedale S.Maria Nuova Ematologia, Reggio Emilia, Italy|Ospedale Oncologico regionale CROB, Rionero in Vulture (PZ), Italy|Dipartimento di biotecnologie cellulari ed ematologia Ospedale Umberto I - La Sapienza, Roma, Italy|Policlinico A. Gemelli Università Cattolica del Sacro Cuore, Roma, Italy|Clinica Humanitas, Rozzano (MI), Italy|A.O.San Giovanni Battista, Torino, Italy|U.O. Oncologia Azienda ULSS7 P.O. di Vittorio Veneto, Vittorio Veneto, Italy","","https://ClinicalTrials.gov/show/NCT01478269"
8,"NCT03664336","Refractory Diffuse Large B-cell Lymphoma",,"Completed","No Results Available","Diffuse Large B-cell Lymphoma","","Outcome according to pattern of refractoriness","Hospices Civils de Lyon","All","18 Years and older   (Adult, Older Adult)","","104","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","refractory DLBCL","November 2016","July 2017","January 2018","September 10, 2018","null","September 10, 2018","Centre Hospitalier Lyon Sud, Pierre-Bénite, France","","https://ClinicalTrials.gov/show/NCT03664336"
9,"NCT02433795","Bendamustine Plus Rituximab (BR) for Relapsed or Progressive Marginal Zone B-cell Lymphoma (MZBCL)",,"Active, not recruiting","No Results Available","Marginal Zone B-cell Lymphoma","Drug: bendamustine plus rituximab","Overall response rate based on Revised Response Criteria for Malignant Lymphoma|Complete remission rate|Safety based on NCI CTCAE version 4.0","Seoul National University Hospital|Gyeongsang National University Hospital|Korea Cancer Center Hospital|Seoul National University Boramae Hospital|Hallym University Medical Center|Inje University|Gangnam Severance Hospital|Chonbuk National University Hospital|Chungnam National University|The Catholic University of Korea|Wonju Severance Christian Hospital|Gachon University Gil Medical Center|Seoul National University Bundang Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","27","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LY14-09","May 2015","October 2018","December 2018","May 5, 2015","null","June 21, 2018","Chonbuk National University Hospital, Jeonju, Jeollabuk-do, Korea, Republic of|Hallym University Medical Center, Anyang-si, Korea, Republic of|Chungnam National University, Daejeon, Korea, Republic of|Gachon University Gil Medical Center, Incheon, Korea, Republic of|Gyeongsang National University Hospital, Jinju, Korea, Republic of|Seoul National University Bundang Hospital, Seongnam, Korea, Republic of|Inje Universit, Seoul, Korea, Republic of|Korea Cancer Center Hospital, Seoul, Korea, Republic of|Seoul National University Boramae Hospital, Seoul, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|The Catholic University of Korea, Seoul, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT02433795"
10,"NCT03258047","Novel Autologou CAR-T Therapy for Relapsed/Refractory B Cell Lymphoma",,"Recruiting","No Results Available","B Cell Lymphoma","Combination Product: CAR-T","complete remission rate|progression free survival|overall survival|adverse events|duration of the modified T cells by CAR-T in the patients","First Affiliated Hospital of Zhejiang University","All","18 Years and older   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","lymphoma center Q002","September 15, 2017","May 31, 2019","July 30, 2019","August 22, 2017","null","February 8, 2018","The first affiliated hospital of Zhejiang University, Hangzhou, Zhejiang, China","","https://ClinicalTrials.gov/show/NCT03258047"
