,Title,Interventions,Phases
0,study sd 101 combination localized low dose radiation patients untreated low grade b cell lymphoma,drug  sd 101 radiation  radiation therapi,phase 1 phase 2
1,bruton tyrosine kinase  btk  inhibition b cell lymphoma,drug  ibrutinib immunochemotherapi,phase 1
2,study evaluating cpi 1205 patients b cell lymphoma,drug  cpi 1205,phase 1
3,treatment mature b cell lymphoma leukaemia,drug  half cyclophosphamide drug  without copadm3 drug  mini cyve  without 3 maintenance courses drug  lmb b drug  lmb c,phase 3
4,incb050465 combination rituximab  bendamustine rituximab  ibrutinib participants previously treated b cell lymphoma  citadel 112 ,drug  incb050465 drug  rituximab drug  bendamustine drug  ibrutinib,phase 1
5,evaluation 4th generation safety designed car cells targeting high risk refractory b cell lymphoma,genetic  anti cd19 car cel,phase 1 phase 2
6,prognosis patients aggressive b cell lymphoma  treated rituximab anthracycline regimen,nan,nan
7,refractory diffuse large b cell lymphoma,nan,nan
8,bendamustine plus rituximab  br  relapsed progressive marginal zone b cell lymphoma  mzbcl ,drug  bendamustine plus rituximab,phase 2
9,novel autologou car therapy relapsed refractory b cell lymphoma,combination product  car ,phase 2
10,cd19 targeting car cells b cell lymphoma,biological  cd19 targeting car cells infus,phase 1 phase 2
11,cd19 cart cells patients relapse refractory cd19  b cell lymphoma ,drug  fludarabine drug  cyclophosphamide biological  cd19 cart,phase 1 phase 2
12,study investigate bgb 3111 chinese patients b cell lymphoma,drug  bgb 3111,phase 1
13,safety efficacy cart 19 cells relapse refractory patients cd19  b cell lymphoma,drug  cyclophosphamide drug  fludarabine biological  cart 19,phase 1
14,study compare bioequivalence safety jhl1101 rituximab cd20 positive b cell lymphoma pati,biological  jhl1101 biological  rituximab,phase 1
15,autologous cd19 car cells relapsed refractory b cell lymphoma,biological  autologous anti cd19 car cel,phase 1
16,study evaluate safety  tolerability  pk pd hlx01 patients cd20 positive b cell lymphoma,drug  hlx01,phase 1
17,phase ib study oral selinexor adult patients relapsed refractory b cell lymphoma receiving r dhaox r gdp,drug  selinexor drug  rituximab drug  dexamethasone drug  oxaliplatin drug  cisplatin drug  cytarabine drug  gemcitabin,phase 1
18,epstein barr virus status diffuse large b cell lymphoma,eber,nan
19,phase ii study comparing lr gem r gem p second line treatment diffuse large b cell lymphoma  legend ,drug  gemcitabine drug  methylprednisolone drug  rituximab drug  cisplatin drug  lenalidomid,phase 2
20,oxaliplatin prednisolone  ox p  patients relapsed refractory marginal zone b cell lymphoma mzl ,drug  oxaliplatin  prednisolon,phase 2
21,clinico pathologic study primary mediastinal b cell lymphoma,nan,nan
22,metformin combination standard induction therapy large b cell lymphoma  dlbcl ,drug  metformin drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisone drug  pegfilgrastim,phase 2
23,investigational drug study suberoylanilide hydroxamic acid relapsed diffuse large b cell lymphoma  0683 013 ,drug  mk0683  vorinostat  suberoylanilide hydroxamic acid  saha    duration treatment 6 month,phase 2
24,study assess pharmacokinetics safety recombinant human murine chimeric anti cd20 monoclonal antibody injection  ibi301  compared rituximab injection cd20 positive b cell lymphoma pati,drug  ibi301 drug  rituximab,phase 1
25,study anti cd22 car nk cells relapsed refractory b cell lymphoma,biological  anti cd22 car nk cel,early phase 1
26,study anti cd19 car nk cells relapsed refractory b cell lymphoma,biological  anti cd19 car nk cel,early phase 1
27,feasibility study adding bortezomib r ice chemotherapy treat relapsed  refractory diffuse large b cell lymphoma,drug  bortezomib  rituximab  ifosphamide  etoposide  carboplatin,phase 1
28,high dose sequential chemoimmunotherapy b cell lymphomas central nervous system involv,drug  high dose sequential chemotherapy autologous transpl,phase 2
29,trial r gemox versus r minichop regimen first line treatment elderly diffuse large b cell lymphoma,drug  rituximab drug  gemcitabine drug  oxaliplatin drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednison,phase 3
30,high dose  absorbed dose adjusted 90y ibritumomab peripheral blood stem cells  pbsc  support b cell lymphoma,drug  90y ibritumomab,phase 1 phase 2
31,high dose chemotherapy rituximab adults aggressive large b cell lymphoma,drug  rituximab,phase 2
32,prognostic value clinical biological factors patients refractory relapsed diffuse large b cell lymphoma,nan,nan
33,study improving efficacy treatment diffused large b cell lymphoma pati,nan,nan
34,chidamide combined vddt regimen relapse refractory diffuse large b cell lymphoma,drug  chidamide drug  vinorelbine drug  liposomal doxorubicin mitoxantrone drug  dexamethasone drug  thalidomid,phase 2
35,study tisagenlecleucel combination pembrolizumab r r diffuse large b cell lymphoma pati,biological  tisagenlecleucel drug  pembrolizumab,phase 1
